,rat,amountgiven,value
0,FPS01,15,7.0
1,FPS01,22,4.0
2,FPS01,30,7.0
3,FPS01,45,5.0
4,FPS02,15,7.0
5,FPS02,22,9.0
6,FPS02,30,8.0
7,FPS02,45,9.0
8,FPS03,15,7.0
9,FPS03,22,7.0
10,FPS03,30,6.0
11,FPS03,45,7.0
12,FPS04,15,3.0
13,FPS04,22,5.0
14,FPS04,30,5.0
15,FPS04,45,7.0
16,FPS05,15,7.0
17,FPS05,22,7.0
18,FPS05,30,5.0
19,FPS05,45,9.0
20,FPS06,15,6.0
21,FPS06,22,6.0
22,FPS06,30,7.0
23,FPS06,45,6.0
24,FPS07,15,6.0
25,FPS07,22,7.0
26,FPS07,30,6.0
27,FPS07,45,4.0
28,FPS08,15,5.0
29,FPS08,22,5.0
30,FPS08,30,7.0
31,FPS08,45,7.0
