rat,Small,Medium,Large
801.0,24.850000000000005,29.6,27.549999999999997
803.0,26.350000000000005,27.050000000000004,29.15
804.0,25.650000000000002,30.950000000000003,30.700000000000003
805.0,24.799999999999997,33.3,30.6
806.0,27.350000000000005,27.949999999999996,27.25
807.0,29.749999999999996,27.85000000000001,35.00000000000001
808.0,29.050000000000004,28.449999999999996,32.300000000000004
501.0,22.0,25.0,23.300000000000004
503.0,24.8,26.750000000000007,26.650000000000006
206.0,18.300000000000004,24.000000000000007,25.85
209.0,24.65,24.999999999999993,27.15
221.0,23.449999999999996,28.700000000000003,24.89999999999999
222.0,16.15,13.2,12.399999999999991
225.0,25.000000000000004,26.099999999999994,27.999999999999996
229.0,7.800000000000004,27.549999999999997,24.85
230.0,31.349999999999998,27.249999999999993,34.0
